,date,open,high,low,close,volume,trades,average
162,20191210,74.575,75.77,74.375,75.28,102725,45675,75.25007207
163,20191211,75.62,75.71,75.005,75.05,82003,35139,75.2083487
164,20191212,75.31,77.01,75.12,76.545,134412,67758,76.46700349
165,20191213,76.545,77.315,75.56,75.885,102784,52932,76.2901759
166,20191216,76.85,77.09,76.395,76.405,100896,47685,76.69648198
167,20191217,76.78,77.615,76.62,77.23,99655,45941,77.30643781
168,20191218,77.19,77.815,77.15,77.405,92756,41919,77.47134444
169,20191219,77.485,78.005,77.425,77.685,93657,43094,77.68542503
170,20191220,78.42,78.53,77.525,77.995,135210,51253,78.1428919
171,20191223,78.15,78.45,77.925,78.24,62942,29937,78.25067726
172,20191224,78.18,78.42,77.945,78.07,29547,15446,78.11060597
173,20191226,78.23,79.315,78.13,79.305,64311,26893,78.9356358
174,20191227,79.475,79.65,79.055,79.145,59643,25072,79.35982332
175,20191230,79.62,79.89,78.815,78.985,80685,33491,79.36777063
176,20191231,78.8,79.415,78.58,79.365,55598,25043,79.12686788
177,20200102,79.6,80.725,79.505,80.695,90313,40358,80.19131034
178,20200103,79.275,79.99,78.925,79.175,97180,41935,79.40005657
179,20200106,78.27,79.025,78.2,78.925,74459,33093,78.71956838
180,20200107,78.77,78.78,78.21,78.24,72744,35148,78.46177761
181,20200108,78.25,79.475,78.16,78.835,86064,40314,79.02951337
182,20200109,80.445,80.445,79.205,79.555,93950,43917,79.61463386
183,20200110,79.475,79.485,78.55,78.73,78294,37515,79.01312205
184,20200113,78.975,80.19,78.48,80.12,114436,56647,79.34144518
185,20200114,80.665,82.565,80.435,81.37,205809,95622,81.81554126
186,20200115,81.19,81.51,80.2,80.705,126285,63386,80.61847811
187,20200116,81.42,81.59,80.31,80.465,85518,41870,80.61599458
188,20200117,80.625,80.865,80.27,80.585,86849,44976,80.56135684
189,20200121,79.95,80.375,79.345,79.375,73704,34154,79.83715847
190,20200122,79.67,79.96,79.335,79.57,57615,25868,79.61910422
191,20200123,79.055,79.56,78.4,79.275,87677,39327,78.99871755
192,20200124,79.095,79.145,77.13,77.905,115278,54742,77.82301279
193,20200127,75.76,76.495,75.35,76.205,128213,65737,76.03983572
194,20200128,76.7,77.615,76.275,76.73,83593,38716,77.05758776
195,20200129,77.03,77.385,75.905,75.975,73132,36273,76.5936637
196,20200130,75.23,77.03,74.99,76.92,94610,46828,75.835
197,20200131,75.96,76.18,73.91,74.41,128423,66271,74.8575
198,20200203,74.7,76.21,74.7,75.13,84486,39159,75.4335
199,20200204,76.75,77.27,76.43,76.5,84706,39259,76.832
200,20200205,77.92,78.98,77.81,78.85,97157,48626,78.534
201,20200206,79.8,79.86,78.4,78.97,74389,36145,78.8995
202,20200207,78.13,79.06,78.06,78.69,67663,34025,78.675
203,20200210,78.08,78.74,78.05,78.48,65790,31213,78.367
204,20200211,78.75,79.55,78.64,79.09,72796,35896,79.1545
205,20200212,79.9,80.77,79.3,79.33,78164,32698,79.823
206,20200213,78.89,79.28,78.62,79.0,66893,28280,79.008
207,20200214,78.89,79.09,78.45,78.79,70948,27689,78.7375
208,20200218,78.61,78.86,77.51,77.58,81853,33980,77.82
209,20200219,77.87,78.39,77.62,78.05,69264,29110,78.1115
210,20200220,77.66,78.7,77.31,78.22,98813,46627,77.972
