,date,open,high,low,close,volume,trades,average
165,20191213,77.05,77.83,76.06,76.39,102784,52932,76.796
166,20191216,77.36,77.6,76.9,76.91,100896,47685,77.205
167,20191217,77.29,78.13,77.13,77.74,99655,45941,77.819
168,20191218,77.7,78.33,77.66,77.92,92756,41919,77.985
169,20191219,78,78.52,77.94,78.2,93657,43094,78.2005
170,20191220,78.94,79.05,78.04,78.51,135210,51253,78.661
171,20191223,78.67,78.97,78.44,78.76,62942,29937,78.7695
172,20191224,78.7,78.94,78.46,78.59,29547,15446,78.6285
173,20191226,78.75,79.84,78.65,79.83,64311,26893,79.459
174,20191227,80,80.18,79.58,79.67,59643,25072,79.886
175,20191230,80.15,80.42,79.34,79.51,80685,33491,79.894
176,20191231,79.32,79.94,79.1,79.89,55598,25043,79.6515
177,20200102,80.13,81.26,80.03,81.23,90313,40358,80.723
178,20200103,79.8,80.52,79.45,79.7,97180,41935,79.9265
179,20200106,78.79,79.55,78.72,79.45,74459,33093,79.2415
180,20200107,79.29,79.3,78.73,78.76,72744,35148,78.982
181,20200108,78.77,80,78.68,79.36,86064,40314,79.5535
182,20200109,80.98,80.98,79.73,80.08,93950,43917,80.1425
183,20200110,80,80.01,79.07,79.25,78294,37515,79.537
184,20200113,79.5,80.72,79,80.65,114436,56647,79.8675
185,20200114,81.2,83.11,80.97,81.91,205809,95622,82.358
186,20200115,81.73,82.05,80.73,81.24,126285,63386,81.153
187,20200116,81.96,82.13,80.84,81,85518,41870,81.1505
188,20200117,81.16,81.4,80.8,81.12,86849,44976,81.0955
189,20200121,80.48,80.91,79.87,79.9,73704,34154,80.3665
190,20200122,80.2,80.49,79.86,80.1,57615,25868,80.147
191,20200123,79.58,80.09,78.92,79.8,87677,39327,79.5225
192,20200124,79.62,79.67,77.64,78.42,115278,54742,78.339
193,20200127,76.26,77,75.85,76.71,128213,65737,76.544
194,20200128,77.21,78.13,76.78,77.24,83593,38716,77.5685
195,20200129,77.54,77.9,76.41,76.48,73132,36273,77.1015
196,20200130,75.74,77.54,75.5,77.43,94610,46828,76.345
197,20200131,75.96,76.18,73.91,74.41,128423,66271,74.8575
198,20200203,74.7,76.21,74.7,75.13,84486,39159,75.4335
199,20200204,76.75,77.27,76.43,76.5,84706,39259,76.832
200,20200205,77.92,78.98,77.81,78.85,97157,48626,78.534
201,20200206,79.8,79.86,78.4,78.97,74389,36145,78.8995
202,20200207,78.13,79.06,78.06,78.69,67663,34025,78.675
203,20200210,78.08,78.74,78.05,78.48,65790,31213,78.367
204,20200211,78.75,79.55,78.64,79.09,72796,35896,79.1545
205,20200212,79.9,80.77,79.3,79.33,78164,32698,79.823
206,20200213,78.89,79.28,78.62,79,66893,28280,79.008
207,20200214,78.89,79.09,78.45,78.79,70948,27689,78.7375
208,20200218,78.61,78.86,77.51,77.58,81853,33980,77.82
209,20200219,77.87,78.39,77.62,78.05,69264,29110,78.1115
210,20200220,77.66,78.7,77.31,78.22,98813,46627,77.972
211,20200221,77.56,77.96,76.15,76.44,113017,50829,76.716
212,20200224,73.38,74.05,72.44,72.53,171331,79906,73.0345
213,20200225,72.63,73.21,69,69.43,216614,113057,70.62
214,20200226,70.02,70.61,68.16,68.18,208433,105980,69.354
215,20200227,66.1,66.89,64.4,64.45,289591,147024,65.8725
216,20200228,62,64.45,61.34,63.46,337017,194078,62.7445
217,20200302,63.85,67.61,63.12,67.59,221552,131029,65.2875
218,20200303,67.86,68.43,64.47,65.05,240398,152277,65.9875
219,20200304,66.05,67.52,64.36,67.39,193143,99648,65.6855
220,20200305,64.79,65.12,63.01,63.49,218961,118323,64.1905
221,20200306,60.46,62.31,59.74,61.28,230384,122020,60.881
222,20200309,54.31,55.61,51,51.37,293622,130516,53.029
223,20200310,54.73,55.7,51.5,55.58,268931,133301,53.5085
224,20200311,53.95,54.33,50.02,50.79,319979,162354,51.959
225,20200312,45.3,49,42.82,43.26,388520,175403,44.4635
226,20200313,47.51,51.24,45.31,51.04,335273,158095,47.241
227,20200316,40.3,45.23,39.57,41.19,279549,130422,42.3355
228,20200317,42,43.98,38.8,40.25,431734,194931,40.5425
229,20200318,37.06,37.99,32,36.43,408595,184157,35.035
230,20200319,35.47,41.24,34.2,39.64,366518,166836,38.422
231,20200320,40.46,40.99,37.2,38.06,296129,146774,39.1185
232,20200323,37.55,38.15,34.62,35.39,281296,139892,35.8195
233,20200324,37.64,40.92,37.34,40.66,285768,134576,39.269
234,20200325,42.31,44.7,39.43,41.86,298565,140952,42.5305
235,20200326,43.68,46.29,43,46.02,257828,126548,45.2145
236,20200327,44.13,45.5,43,43.8,203853,103433,44.246
237,20200330,44.05,44.26,41.57,44.08,228388,109869,43.0845
238,20200331,43.63,44.23,41.65,42.12,196213,95926,43.0345
239,20200401,39.14,40.25,38,38.51,241733,112605,38.951
240,20200402,38.36,39.66,37.3,39.23,245663,108340,38.5215
241,20200403,39,39.46,36.67,37.49,219420,93697,37.674
242,20200406,39.8,41.34,39.51,41.12,260173,117899,40.5185
243,20200407,44.81,45.59,41.12,41.25,294398,126548,43.206
244,20200408,42.85,44.45,41.96,44.26,256905,121018,43.388
245,20200409,46.94,49.22,46.36,47.41,383201,173252,47.791
246,20200413,47.5,47.57,45.27,46.68,232553,109978,46.5005
247,20200414,47.71,47.74,43.52,45.42,353287,149567,45.136
248,20200415,43.37,44.27,42.61,42.86,270858,122249,43.4255
249,20200416,42.71,42.84,40.1,40.52,318140,129929,40.899
250,20200417,43.15,44.66,42.65,44.28,239539,97483,43.756
